,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS
GLM_ignore_cat,0.41832352798293093,0.3344386385858251,0.16783053088382807,0.5491178406939192,0.34659242558143755,0.3125494714032223,0.316287283376416,0.29614962597181455
GLM_one_hot,0.3342435676230869,0.259783511823348,0.1305273580217433,0.4435706248285619,0.5736378813456121,0.013822608705424448,0.013828056955231085,0.23687552076609458
GLM_GLMM_enc,0.34662703127010575,0.2711840280219724,0.13807517926150817,0.45961155935828046,0.5422430550106561,0.06606668465100078,0.06604207094649647,0.24573189060021094
GBM_ignore_cat,0.3757104587622693,0.30128320988828117,0.15182503444599896,0.49382690169701776,0.47155165003968724,0.304042422662773,0.30767750010156697,0.26574140310522115
GBM_one_hot,0.35602546032564486,0.28688650192075893,0.14673780952352072,0.46505399155077304,0.5313379271665697,0.2288451298004162,0.2312930154892302,0.25030100154049195
GBM_GLMM_enc,0.2976232828609268,0.23823544746069192,0.11817392925832576,0.3957399268124876,0.6606305108350548,0.07609849910653278,0.07609712830761385,0.21102407699810147
NN_ee,0.29221638019568225,0.23286614935499994,0.11713932977048988,0.38269673482472694,0.682632412780168,0.0411246441104335,0.04186967569662742,0.20681491841548108
GBM_ee,0.3485220249379156,0.27591999900794606,0.13865917094277064,0.46112059067401895,0.5392322362257516,0.2285532935344401,0.23146311220051174,0.24632205824278972
GLMM,0.334395902342956,0.2600493860232296,0.13052376640390312,0.44381140831602434,0.5731748713272175,0.017568109715446076,0.017534208936336487,0.2369889586191719
GPBoost,0.3689384713870213,0.29425327414545444,0.14980634683484584,0.48686737411393666,0.4863415915776479,0.2708237526350951,0.273675592735673,0.2615076689825861
GLMMNet,0.2770488819837003,0.2139886302218429,0.10976785935983938,0.36657401958258806,0.7088100244909592,0.03625285622727106,0.03633899944652322,0.1964451220936635
GLMMNet_dropout,0.29932668882099106,0.22721822547143566,0.11809252387711318,0.40520406262821346,0.6442043463577811,0.13988763346995642,0.13985106528344973,0.21606197626270227
